carat,cut,color,clarity,depth,table,price,x,y,z
1.51,Premium,F,SI2,59.9,58.0,9471,7.53,7.46,4.49
0.23,Very Good,E,VVS1,62.9,59.0,530,3.93,3.95,2.48
0.31,Good,I,SI1,63.5,56.0,408,4.28,4.32,2.73
0.67,Good,F,SI1,60.2,61.0,1897,5.64,5.69,3.41
0.44,Ideal,I,VS2,61.9,54.0,732,4.91,4.95,3.05
0.7,Good,F,SI1,57.7,65.0,2167,5.78,5.72,3.32
0.31,Premium,I,VS1,63.0,58.0,628,4.32,4.29,2.71
0.56,Ideal,E,VS2,60.7,57.0,1915,5.34,5.31,3.23
1.7,Fair,F,SI2,64.5,57.0,9996,7.55,7.51,4.86
0.33,Ideal,F,VVS2,62.4,56.0,832,4.41,4.43,2.76
1.16,Premium,F,SI2,61.9,59.0,4476,6.71,6.66,4.14
0.43,Very Good,F,SI1,61.6,59.0,792,4.83,4.87,2.99
0.56,Ideal,D,VS2,61.2,56.0,1963,5.3,5.35,3.26
0.34,Ideal,F,IF,60.7,57.0,1148,4.53,4.5,2.74
2.09,Ideal,I,SI1,61.4,56.0,16704,8.23,8.27,5.06
1.52,Premium,D,SI1,59.8,58.0,12823,7.55,7.51,4.5
0.53,Premium,E,VVS2,62.4,56.0,2331,5.19,5.17,3.23
1.01,Ideal,G,VS2,61.9,55.0,6108,6.49,6.46,4.01
0.92,Premium,D,SI2,62.4,60.0,4096,6.25,6.21,3.89
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65
0.33,Premium,F,VS2,61.2,58.0,854,4.5,4.45,2.74
1.02,Very Good,F,IF,62.5,58.0,10967,6.39,6.54,4.04
0.3,Premium,G,SI1,60.1,62.0,574,4.37,4.35,2.62
0.33,Very Good,E,SI1,60.2,58.0,579,4.49,4.55,2.72
0.5,Good,D,SI1,64.1,56.0,1190,5.03,4.98,3.21
1.5,Ideal,J,VS2,61.6,58.0,7515,7.33,7.38,4.53
1.01,Very Good,F,SI1,61.0,61.0,4899,6.44,6.47,3.94
0.59,Ideal,G,VVS2,62.2,56.0,2070,5.4,5.37,3.35
0.34,Very Good,D,SI1,62.0,56.0,626,4.43,4.47,2.76
0.31,Ideal,H,SI2,61.1,56.0,421,4.4,4.42,2.69
0.82,Premium,F,SI2,59.5,62.0,2688,6.13,6.08,3.63
1.07,Premium,G,VS2,61.9,58.0,6903,6.55,6.54,4.05
0.4,Very Good,D,VS2,60.8,59.0,868,4.71,4.77,2.88
0.56,Very Good,I,VVS1,62.4,56.0,1580,5.24,5.28,3.28
0.31,Premium,G,VVS1,62.1,59.0,816,4.34,4.39,2.71
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46
1.7,Good,J,VS2,63.6,59.0,8282,7.53,7.48,4.77
0.75,Very Good,E,VS2,63.0,57.0,3718,5.81,5.78,3.65
1.22,Ideal,D,SI2,61.8,58.0,6372,6.84,6.92,4.25
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6
0.96,Fair,F,I1,62.9,66.0,1917,6.29,6.07,3.91
1.08,Premium,G,SI2,63.0,54.0,4124,6.58,6.54,4.13
0.32,Ideal,F,IF,60.9,57.0,943,4.41,4.43,2.69
1.04,Premium,G,VS1,60.2,58.0,6360,6.65,6.64,4.0
2.1,Ideal,I,SI2,61.9,56.0,15653,8.22,8.2,5.08
1.01,Good,J,SI1,63.6,54.0,3699,6.44,6.36,4.07
1.06,Ideal,I,SI2,61.3,56.0,4167,6.59,6.55,4.03
1.27,Very Good,H,VS1,60.7,54.0,8235,7.01,7.05,4.27
0.34,Ideal,H,VVS2,61.8,54.0,880,4.49,4.47,2.77
1.52,Very Good,F,SI2,62.3,59.0,8192,7.33,7.37,4.58
0.4,Ideal,G,IF,63.1,54.0,1239,4.69,4.73,2.97
0.56,Very Good,E,VS2,61.7,56.0,1755,5.25,5.31,3.26
0.76,Very Good,E,SI2,62.0,54.0,2530,5.84,5.91,3.64
0.31,Ideal,H,SI1,61.5,56.5,457,4.34,4.36,2.67
0.3,Ideal,D,VS2,62.3,54.0,911,4.34,4.29,2.69
0.33,Ideal,F,IF,61.5,55.0,1114,4.47,4.44,2.74
0.9,Good,I,IF,63.7,64.0,3734,6.02,6.07,3.85
0.91,Fair,D,VS2,64.5,55.0,4765,6.24,6.07,3.97
0.5,Ideal,G,VS2,62.5,57.0,1449,5.04,5.07,3.16
0.3,Ideal,F,VS2,61.6,57.0,776,4.33,4.3,2.66
0.92,Very Good,H,SI2,62.8,59.0,3417,6.14,6.16,3.86
0.7,Ideal,D,SI1,61.8,56.0,2822,5.73,5.63,3.51
0.31,Ideal,E,VS2,61.3,56.0,680,4.34,4.37,2.67
0.7,Ideal,I,SI1,61.9,58.0,2054,5.67,5.7,3.52
0.31,Premium,H,SI1,62.4,57.0,558,4.35,4.31,2.7
0.51,Good,F,SI1,64.2,59.0,1406,5.04,5.02,3.23
0.71,Good,E,SI1,62.8,64.0,2817,5.6,5.54,3.5
0.4,Ideal,E,VS2,62.4,55.0,912,4.71,4.74,2.95
0.7,Fair,F,SI2,58.2,66.0,1920,5.77,5.74,3.35
0.55,Premium,D,SI1,60.7,58.0,1819,5.3,5.24,3.2
0.68,Very Good,F,SI1,60.1,57.9,1964,5.69,5.74,3.43
0.3,Ideal,E,VVS2,61.7,55.0,1013,4.31,4.28,2.65
0.28,Good,E,IF,64.6,58.0,612,4.09,4.12,2.65
1.0,Very Good,E,SI2,63.5,56.0,3763,6.37,6.3,4.02
0.39,Premium,G,IF,59.0,60.0,1362,4.78,4.75,2.81
0.54,Ideal,G,VS2,61.7,55.0,1401,5.22,5.26,3.23
0.3,Ideal,E,VVS2,61.4,57.0,1013,4.34,4.32,2.66
2.04,Premium,I,I1,59.3,61.0,8408,8.3,8.25,4.91
0.31,Ideal,F,SI1,62.0,54.0,628,4.36,4.38,2.71
0.9,Good,G,SI1,62.2,62.5,3816,6.08,6.1,3.78
0.31,Ideal,E,VVS1,61.8,56.0,988,4.36,4.34,2.69
0.3,Ideal,E,VS2,62.0,56.0,844,4.34,4.31,2.68
0.26,Premium,E,VS1,60.1,60.0,580,4.15,4.1,2.48
1.52,Premium,H,VVS2,63.0,60.0,12013,7.3,7.25,4.58
1.0,Very Good,E,SI2,63.7,60.0,4181,6.24,6.32,4.0
0.9,Good,E,SI2,64.1,57.0,3084,6.09,6.07,3.9
0.42,Ideal,D,SI1,61.7,56.0,810,4.79,4.83,2.97
0.4,Ideal,E,VS2,60.9,56.0,904,4.78,4.81,2.92
1.51,Very Good,H,SI1,61.7,61.0,9218,7.3,7.35,4.52
0.5,Good,G,VS2,57.9,61.0,1415,5.23,5.2,3.02
1.1,Ideal,I,SI2,62.6,55.0,4624,6.57,6.6,4.13
2.01,Premium,J,VS2,60.4,59.0,13744,8.15,8.1,4.91
0.55,Ideal,F,SI2,61.1,56.0,1313,5.25,5.33,3.24
1.01,Very Good,D,VS1,63.1,58.0,7575,6.34,6.3,3.99
0.38,Very Good,G,VS2,59.7,62.0,715,4.66,4.68,2.79
2.16,Very Good,I,SI1,58.5,60.0,17772,8.49,8.54,4.98
1.02,Very Good,E,SI1,63.2,61.0,5278,6.37,6.31,4.01
1.09,Ideal,H,SI2,60.0,59.0,4383,6.72,6.77,4.05
2.0,Premium,G,SI1,59.3,60.0,14918,8.19,8.13,4.84
0.4,Ideal,E,SI2,61.9,58.0,629,4.71,4.73,2.92
0.76,Ideal,H,VS1,61.6,56.0,3424,5.85,5.9,3.62
0.55,Premium,F,VS2,62.5,56.0,1746,5.27,5.23,3.28
1.53,Very Good,H,VS2,60.9,63.0,11452,7.37,7.41,4.5
0.29,Ideal,F,SI2,60.6,59.0,496,4.31,4.37,2.63
0.5,Premium,F,SI1,62.4,57.0,1838,5.13,5.1,3.19
0.72,Ideal,I,VS1,61.4,58.0,2498,5.73,5.77,3.53
2.41,Good,I,SI2,57.7,61.0,17923,8.87,8.83,5.11
0.53,Premium,E,SI1,62.2,56.0,1654,5.22,5.16,3.23
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5
0.38,Ideal,F,VS1,60.4,56.0,915,4.7,4.74,2.85
0.95,Premium,G,SI2,59.7,61.0,3830,6.35,6.27,3.77
0.49,Very Good,F,SI1,62.3,57.0,985,5.05,5.07,3.15
0.33,Good,I,VVS2,63.7,56.0,579,4.36,4.4,2.79
0.34,Premium,G,VS2,60.3,58.0,596,4.49,4.53,2.72
1.1,Very Good,F,SI2,59.1,57.0,4715,6.72,6.82,4.0
0.33,Fair,F,VVS2,65.7,54.0,693,4.37,4.3,2.85
0.31,Ideal,F,IF,62.1,55.0,914,4.32,4.38,2.7
0.41,Very Good,F,VS2,62.6,58.0,863,4.75,4.81,2.99
0.81,Ideal,I,SI1,62.5,57.0,2439,5.98,5.92,3.72
0.51,Premium,G,VS1,62.3,58.0,1656,5.08,5.13,3.18
0.4,Very Good,D,VS2,63.5,57.0,850,4.62,4.67,2.95
1.05,Premium,F,SI2,61.1,59.0,3672,6.54,6.61,4.02
0.93,Ideal,H,VS2,61.5,57.0,4218,6.3,6.26,3.86
0.56,Ideal,D,VS2,60.9,56.0,1963,5.32,5.35,3.25
0.4,Ideal,F,VS1,62.4,53.0,917,4.72,4.76,2.96
0.61,Very Good,E,SI1,62.2,60.0,1983,5.44,5.4,3.37
1.12,Ideal,F,VS1,61.8,56.0,9007,6.67,6.69,4.13
2.28,Very Good,H,SI2,63.3,54.0,12907,8.36,8.29,5.27
0.52,Ideal,G,SI1,62.2,54.0,1319,5.16,5.19,3.22
1.0,Very Good,D,SI2,59.5,62.0,4543,6.49,6.52,3.87
0.3,Very Good,G,VS2,61.1,62.0,491,4.28,4.33,2.63
0.31,Ideal,E,VS2,61.8,54.0,872,4.41,4.36,2.71
1.02,Premium,G,SI1,62.3,59.0,4633,6.4,6.44,4.0
0.37,Premium,I,VVS1,61.6,59.0,874,4.66,4.62,2.86
0.35,Premium,F,SI1,62.3,58.0,748,4.53,4.49,2.81
1.0,Ideal,J,VS2,62.4,54.0,4539,6.4,6.46,4.01
1.01,Premium,G,VS1,62.6,59.0,6618,6.46,6.38,4.02
0.35,Ideal,G,IF,61.3,56.0,910,4.51,4.53,2.77
1.01,Ideal,I,VS1,62.9,56.0,4118,6.43,6.38,4.03
0.27,Ideal,I,VS1,62.1,54.0,432,4.16,4.18,2.59
1.03,Premium,I,SI1,61.6,59.0,4362,6.46,6.49,3.99
0.71,Ideal,E,SI1,62.8,53.0,2612,5.67,5.7,3.57
1.0,Ideal,I,VS2,62.6,54.0,3858,6.39,6.35,3.99
0.43,Ideal,G,VS2,62.4,56.0,1093,4.87,4.84,3.02
0.9,Very Good,E,VS2,62.9,57.0,4580,6.16,6.18,3.88
0.8,Good,G,VS2,64.2,58.0,2753,5.84,5.81,3.74
0.53,Ideal,G,VVS2,60.4,56.0,1818,5.29,5.24,3.18
0.5,Ideal,G,SI2,62.1,55.0,1074,5.12,5.15,3.19
0.39,Ideal,F,VVS2,61.8,55.0,1097,4.68,4.75,2.92
2.03,Ideal,H,SI2,61.6,55.0,16642,8.18,8.12,5.02
0.31,Ideal,G,SI2,61.4,55.0,558,4.39,4.37,2.69
0.37,Ideal,H,SI1,62.1,56.0,552,4.6,4.61,2.86
0.43,Very Good,F,VS2,61.6,59.0,905,4.78,4.87,2.97
0.31,Very Good,F,VS1,61.2,55.0,675,4.35,4.37,2.67
0.3,Ideal,H,SI1,62.9,57.0,540,4.29,4.26,2.69
0.36,Ideal,H,VS2,62.0,55.0,599,4.58,4.63,2.86
1.41,Premium,E,VS2,61.3,58.0,11269,7.29,7.25,4.46
1.67,Ideal,H,VS1,61.8,55.9,13887,7.57,7.6,4.69
0.38,Ideal,J,VS2,61.4,57.0,617,4.65,4.68,2.87
0.32,Premium,D,VS2,61.7,59.0,972,4.43,4.38,2.72
0.56,Ideal,E,SI1,60.9,56.0,1698,5.35,5.32,3.25
1.01,Very Good,J,VVS2,63.7,57.0,5067,6.31,6.35,4.03
0.7,Good,H,VS2,64.2,58.0,2351,5.61,5.58,3.59
2.53,Premium,H,SI2,61.1,57.0,15148,8.82,8.76,5.37
1.58,Premium,I,I1,60.2,61.0,4459,7.55,7.51,4.53
0.51,Ideal,F,VVS2,62.4,57.0,2203,5.12,5.08,3.18
1.22,Ideal,G,VS1,62.5,57.0,8608,6.82,6.77,4.25
1.22,Very Good,G,SI2,59.2,61.0,6531,6.99,6.92,4.12
1.51,Premium,E,SI2,62.0,62.0,7610,7.16,7.09,4.42
0.33,Ideal,E,VS2,61.9,55.0,873,4.46,4.49,2.77
0.3,Very Good,G,VS1,63.3,56.0,776,4.3,4.26,2.71
1.7,Very Good,G,VS2,61.6,58.0,16086,7.63,7.67,4.71
0.31,Premium,D,SI2,60.1,58.0,593,4.4,4.38,2.64
1.55,Very Good,G,VS1,60.8,60.0,14386,7.46,7.51,4.55
0.9,Fair,I,VS2,65.8,55.0,2666,6.05,6.01,3.97
0.6,Ideal,H,VS2,62.1,55.0,1442,5.42,5.46,3.38
0.79,Ideal,I,SI1,61.6,56.0,2756,5.95,5.97,3.67
2.1,Very Good,I,SI2,60.6,60.0,12612,8.29,8.33,5.04
0.52,Premium,I,SI1,62.5,59.0,1073,5.12,5.06,3.18
0.95,Ideal,E,SI2,62.2,56.0,4068,6.26,6.35,3.92
0.54,Good,D,SI1,63.7,57.0,1263,5.22,5.14,3.3
1.26,Very Good,D,SI1,59.9,59.0,7785,7.02,7.14,4.24
4.13,Fair,H,I1,64.8,61.0,17329,10.0,9.85,6.43
0.32,Ideal,E,VVS2,61.5,56.0,1010,4.41,4.44,2.72
1.02,Very Good,H,SI1,62.2,58.0,4932,6.42,6.48,4.01
0.24,Very Good,E,VS1,62.4,59.0,419,3.94,3.98,2.47
1.11,Very Good,F,VVS1,62.5,59.0,10069,6.59,6.63,4.13
0.23,Ideal,F,VVS2,62.3,56.0,530,3.95,4.01,2.48
0.35,Premium,E,SI1,60.7,59.0,788,4.57,4.52,2.76
0.35,Ideal,E,VS2,62.0,56.0,704,4.49,4.51,2.79
0.23,Very Good,E,VVS2,62.8,58.0,505,3.92,3.94,2.47
0.3,Premium,H,VVS2,60.8,60.0,605,4.29,4.33,2.62
0.5,Ideal,E,SI1,61.6,57.0,1415,5.13,5.09,3.15
0.41,Fair,D,VVS2,64.5,57.0,1089,4.68,4.65,3.01
2.19,Ideal,D,SI2,61.8,57.0,18693,8.23,8.49,5.17
1.06,Ideal,I,SI2,61.4,57.0,3777,6.57,6.63,4.05
0.5,Good,E,VVS2,61.6,62.0,2437,5.04,5.09,3.12
0.7,Ideal,D,SI1,61.2,54.0,2310,5.79,5.75,3.53
0.31,Premium,G,IF,61.0,59.0,924,4.33,4.36,2.65
1.04,Premium,G,SI1,62.7,59.0,5223,6.47,6.41,4.04
0.37,Very Good,H,SI1,62.6,63.0,613,4.6,4.5,2.85
0.79,Very Good,H,SI2,63.2,55.0,2348,5.93,5.9,3.74
1.2,Very Good,G,SI1,63.5,56.0,6666,6.77,6.7,4.28
1.5,Premium,D,SI1,62.1,60.0,11863,7.28,7.22,4.5
0.58,Ideal,G,VVS2,61.9,57.0,2245,5.36,5.33,3.31
0.71,Premium,D,SI1,62.7,60.0,2822,5.71,5.67,3.57
0.47,Fair,F,SI2,67.6,57.0,719,4.81,4.72,3.23
0.7,Premium,E,VS1,58.4,59.0,2854,5.91,5.83,3.43
0.44,Very Good,E,SI1,62.2,60.0,810,4.79,4.86,3.0
0.44,Good,E,SI2,63.2,59.0,684,4.8,4.85,3.05
0.71,Ideal,F,SI1,61.5,56.0,2633,5.76,5.69,3.52
0.3,Premium,G,SI1,59.7,60.0,574,4.39,4.35,2.61
1.75,Premium,G,VS2,62.8,59.0,16220,7.62,7.53,4.76
1.62,Ideal,G,VS2,61.3,55.0,16183,7.55,7.6,4.64
1.01,Very Good,E,SI2,60.2,60.0,5340,6.46,6.5,3.9
0.41,Ideal,G,VS2,62.5,56.0,1061,4.75,4.72,2.96
1.51,Premium,J,VS1,61.4,57.0,8204,7.38,7.3,4.51
0.41,Good,H,VS2,64.1,57.0,729,4.72,4.64,3.0
0.39,Ideal,E,VS1,62.3,54.4,1004,4.66,4.69,2.91
0.3,Ideal,G,VVS1,62.0,54.9,735,4.3,4.33,2.68
0.71,Premium,E,SI1,62.2,58.0,2743,5.74,5.67,3.55
2.2,Premium,H,SI2,61.5,58.0,12747,8.44,8.38,5.18
2.32,Ideal,I,SI2,62.0,57.0,17516,8.45,8.49,5.25
1.0,Premium,E,SI2,62.6,56.0,4077,6.43,6.39,4.01
0.67,Good,I,VS2,60.7,61.4,1708,5.6,5.64,3.41
0.53,Ideal,G,VVS1,61.4,57.0,2106,5.21,5.18,3.19
1.09,Ideal,E,VS2,61.2,56.0,7443,6.62,6.67,4.07
0.47,Good,F,VS1,59.0,60.2,1243,5.04,5.09,2.99
0.37,Premium,F,SI1,60.3,58.0,616,4.62,4.66,2.8
1.01,Ideal,D,VS2,60.6,57.0,7602,6.54,6.46,3.94
1.04,Ideal,G,VS2,61.9,54.0,6809,6.53,6.56,4.05
1.24,Ideal,F,VVS1,61.2,55.0,15026,6.94,6.98,4.26
0.5,Very Good,H,VS1,61.6,57.0,1598,5.11,5.13,3.15
0.36,Ideal,F,IF,62.5,54.0,1056,4.54,4.58,2.85
1.1,Premium,G,SI2,61.4,59.0,4650,6.71,6.59,4.08
1.51,Good,D,VS2,59.8,65.0,12709,7.36,7.43,4.42
1.22,Premium,I,VS1,59.4,60.0,6504,7.02,6.96,4.15
1.01,Premium,F,SI2,61.9,58.0,4676,6.39,6.34,3.94
0.31,Ideal,E,VVS1,60.2,61.0,865,4.4,4.43,2.66
0.54,Ideal,F,VVS2,61.0,54.0,2231,5.28,5.3,3.23
0.42,Ideal,I,IF,62.0,54.0,961,4.82,4.85,3.0
0.52,Ideal,E,VS2,59.5,57.0,1815,5.27,5.25,3.13
0.31,Ideal,F,VS2,62.3,55.0,625,4.3,4.33,2.69
0.51,Ideal,G,VS2,62.0,56.0,1343,5.11,5.18,3.19
1.21,Ideal,H,SI1,62.1,56.0,6629,6.81,6.84,4.23
0.3,Very Good,D,SI1,63.1,55.0,709,4.31,4.28,2.71
0.56,Ideal,D,SI1,61.9,56.0,1745,5.24,5.29,3.26
1.0,Good,E,VS2,63.7,56.0,5819,6.37,6.34,4.05
0.41,Ideal,E,VVS1,61.9,55.0,1431,4.79,4.78,2.96
1.01,Premium,F,SI2,61.8,59.0,4008,6.41,6.31,3.93
0.41,Ideal,D,SI1,61.6,55.0,791,4.78,4.8,2.95
0.79,Ideal,F,SI1,62.5,57.0,2976,5.88,5.92,3.69
1.5,Very Good,F,VS2,63.9,57.0,13037,7.16,7.23,4.6
1.01,Very Good,D,SI1,62.4,58.0,4666,6.39,6.47,4.01
0.9,Good,G,SI1,63.8,59.0,3734,6.05,6.08,3.87
0.7,Premium,J,VS1,62.0,58.0,1657,5.68,5.74,3.54
1.54,Ideal,G,VS2,62.0,55.6,13110,7.35,7.44,4.59
0.3,Very Good,E,VS2,62.4,57.0,658,4.24,4.29,2.66
0.31,Premium,G,VS1,60.4,59.0,695,4.41,4.37,2.65
0.61,Premium,I,VS1,60.0,61.0,1614,5.53,5.5,3.31
0.43,Ideal,G,VVS1,61.4,55.0,1207,4.86,4.91,3.0
0.37,Premium,F,VS2,60.6,58.0,957,4.67,4.63,2.82
0.26,Premium,E,VS1,60.1,60.0,452,4.1,4.15,2.48
0.53,Ideal,D,SI2,60.4,57.0,1412,5.3,5.26,3.19
1.02,Very Good,H,SI2,59.7,58.0,4303,6.53,6.57,3.91
2.1,Premium,G,SI2,62.6,56.0,15175,8.2,8.16,5.12
2.18,Very Good,I,SI2,58.9,60.0,15684,8.51,8.55,5.02
2.14,Very Good,J,VS2,62.8,57.0,14065,8.27,8.16,5.16
0.71,Ideal,E,VS2,62.5,56.0,2347,5.7,5.75,3.58
1.16,Premium,E,SI1,61.3,60.0,6366,6.7,6.64,4.09
0.85,Fair,G,I1,62.7,60.0,1651,6.05,5.96,3.77
0.3,Premium,G,VVS1,62.4,59.0,905,4.31,4.25,2.67
0.7,Very Good,E,SI1,63.3,60.0,2592,5.59,5.56,3.53
1.59,Premium,J,SI1,62.5,60.0,7695,7.42,7.46,4.65
1.0,Premium,E,SI1,59.7,57.0,5322,6.56,6.48,3.89
0.83,Very Good,J,VS2,60.5,55.0,2444,6.08,6.11,3.69
1.46,Premium,G,SI2,59.5,59.0,7931,7.34,7.29,4.35
0.31,Ideal,G,VVS1,59.0,62.0,755,4.41,4.43,2.61
0.4,Ideal,D,VS1,60.6,56.0,1003,4.78,4.82,2.91
0.32,Ideal,H,VS1,61.5,57.0,561,4.4,4.42,2.71
1.22,Ideal,I,SI1,61.7,57.0,6012,6.85,6.82,4.22
0.58,Very Good,J,VS2,62.9,58.0,1266,5.3,5.32,3.34
1.03,Ideal,D,VS1,61.8,56.0,8612,6.46,6.54,4.02
0.26,Ideal,F,IF,60.9,55.0,768,4.15,4.23,2.55
0.41,Ideal,J,VS1,61.5,55.0,648,4.77,4.79,2.94
0.7,Very Good,G,SI1,61.8,56.0,2106,5.7,5.76,3.54
1.0,Premium,E,VS2,60.0,60.0,6720,6.43,6.43,3.89
1.03,Ideal,D,VS1,61.5,57.0,8742,6.48,6.52,4.0
0.6,Ideal,F,VS2,61.9,57.0,1970,5.39,5.43,3.35
1.04,Premium,E,SI1,59.6,59.0,5766,6.59,6.56,3.92
1.4,Ideal,H,IF,60.9,57.0,10976,7.22,7.29,4.42
2.5,Premium,I,SI2,59.0,60.0,18447,8.76,8.89,5.21
1.7,Premium,G,SI1,62.5,61.0,13737,7.54,7.47,4.69
0.3,Very Good,H,VS2,61.1,61.0,473,4.31,4.33,2.64
0.31,Premium,G,VS2,59.8,60.0,544,4.4,4.43,2.64
1.23,Ideal,I,SI1,62.1,57.0,6449,6.83,6.88,4.26
0.32,Ideal,E,VS2,62.1,55.0,702,4.36,4.4,2.72
0.57,Ideal,D,SI2,61.9,56.0,1359,5.3,5.34,3.3
0.93,Premium,F,SI1,62.3,58.0,4373,6.18,6.22,3.86
0.56,Fair,E,VVS2,57.3,60.0,2426,5.5,5.57,3.17
0.57,Premium,E,SI2,60.7,57.0,1320,5.42,5.35,3.27
0.3,Very Good,H,VS1,62.0,58.0,526,4.24,4.28,2.64
0.38,Ideal,F,SI2,60.6,56.0,827,4.73,4.7,2.86
1.01,Very Good,D,SI2,62.9,59.0,4064,6.29,6.37,3.98
1.01,Fair,E,SI2,57.9,57.0,3916,6.51,6.55,3.78
1.38,Premium,J,SI1,59.0,59.0,5912,7.38,7.32,4.34
2.02,Fair,H,SI1,56.2,61.0,15695,8.8,8.33,4.81
0.75,Premium,H,VS2,60.8,57.0,2484,5.9,5.87,3.58
0.3,Ideal,F,VVS2,61.6,53.0,694,4.35,4.39,2.69
1.01,Very Good,G,VVS2,63.0,59.0,6843,6.34,6.41,4.01
1.02,Very Good,G,VS2,60.5,60.0,6906,6.53,6.49,3.94
0.9,Premium,D,SI2,61.0,61.0,3312,6.17,6.15,3.76
1.4,Very Good,G,VS1,62.6,58.0,11262,7.03,7.07,4.41
0.31,Premium,E,VS2,61.6,59.0,680,4.32,4.35,2.67
0.51,Ideal,I,SI1,62.5,57.0,1122,5.1,5.07,3.18
0.53,Very Good,E,VS1,61.8,60.0,1874,5.13,5.22,3.2
0.72,Ideal,H,SI1,62.3,54.0,2354,5.78,5.75,3.59
0.4,Good,H,VVS2,59.1,61.0,823,4.79,4.82,2.84
0.32,Premium,H,VS2,60.5,59.0,505,4.39,4.43,2.67
0.77,Ideal,E,SI1,61.0,56.0,3827,5.92,5.94,3.62
0.82,Ideal,E,SI1,62.1,55.0,3577,5.98,6.0,3.72
1.72,Good,F,SI1,64.3,60.0,13622,7.56,7.52,4.85
0.3,Ideal,F,SI1,61.4,58.0,475,4.3,4.33,2.65
0.71,Ideal,E,SI1,61.1,57.0,3128,5.75,5.77,3.52
0.32,Ideal,I,SI1,60.7,57.0,554,4.47,4.42,2.7
0.54,Premium,G,VS2,62.7,58.0,1422,5.21,5.25,3.28
0.42,Ideal,J,VS1,60.9,57.0,851,4.86,4.83,2.95
0.31,Ideal,F,VS2,61.1,56.0,640,4.35,4.39,2.67
1.32,Premium,I,SI1,62.3,58.0,6171,6.98,7.01,4.36
0.78,Ideal,E,SI1,61.6,56.0,3345,5.94,6.0,3.68
1.52,Premium,E,VS1,60.6,58.0,16779,7.44,7.38,4.49
1.03,Good,D,SI1,64.3,58.0,4441,6.31,6.28,4.05
1.51,Good,G,VS2,63.3,60.0,12756,7.2,7.28,4.58
